Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
2014-09-25 12:10:43 AM,57.03099,9.94550,3,5,262,80,8,GPS,2014-09-25 00:10:43+02:00
2014-09-25 12:15:49 AM,57.03096,9.94550,0,0,328,100,17,GPS,2014-09-25 00:15:49+02:00
2014-09-25 12:21:07 AM,57.03100,9.94580,4,6,259,79,17,GPS,2014-09-25 00:21:07+02:00
2014-09-25 12:36:47 AM,57.03084,9.94530,4,6,357,109,8,GPS,2014-09-25 00:36:47+02:00
2014-09-25 12:42:42 AM,57.03099,9.94580,2,3,190,58,6,GPS,2014-09-25 00:42:42+02:00
2014-09-25 12:53:18 AM,57.03101,9.94540,1,2,370,113,22,GPS,2014-09-25 00:53:18+02:00
2014-09-25 01:09:25 AM,57.03135,9.94630,0,0,55,17,33,GPS,2014-09-25 01:09:25+02:00
2014-09-25 01:14:33 AM,57.03088,9.94550,1,2,318,97,15,GPS,2014-09-25 01:14:33+02:00
2014-09-25 01:27:38 AM,57.03090,9.94570,2,3,472,144,28,GPS,2014-09-25 01:27:38+02:00
2014-09-25 01:46:30 AM,57.03110,9.94570,7,11,318,97,22,GPS,2014-09-25 01:46:30+02:00
2014-09-25 02:14:25 AM,57.03083,9.94550,0,0,314,96,25,GPS,2014-09-25 02:14:25+02:00
2014-09-25 02:25:40 AM,57.03104,9.94580,2,3,259,79,27,GPS,2014-09-25 02:25:40+02:00
2014-09-25 02:31:17 AM,57.03107,9.94660,0,0,288,88,47,GPS,2014-09-25 02:31:17+02:00
2014-09-25 02:36:51 AM,57.03098,9.94580,1,2,301,92,13,GPS,2014-09-25 02:36:51+02:00
2014-09-25 03:01:27 AM,57.03083,9.94540,1,2,324,99,31,GPS,2014-09-25 03:01:27+02:00
2014-09-25 03:07:07 AM,57.03090,9.94580,3,5,377,115,13,GPS,2014-09-25 03:07:07+02:00
2014-09-25 03:17:25 AM,57.03080,9.94520,3,5,314,96,16,GPS,2014-09-25 03:17:25+02:00
2014-09-25 03:27:40 AM,57.03093,9.94550,5,8,275,84,30,GPS,2014-09-25 03:27:40+02:00
2014-09-25 03:57:52 AM,57.03110,9.94590,3,5,236,72,33,GPS,2014-09-25 03:57:52+02:00
2014-09-25 04:04:33 AM,57.03077,9.94530,0,0,341,104,43,GPS,2014-09-25 04:04:33+02:00
2014-09-25 04:11:31 AM,57.03099,9.94580,3,5,118,36,15,GPS,2014-09-25 04:11:31+02:00
2014-09-25 04:27:40 AM,57.03074,9.94520,36,58,95,29,30,GPS,2014-09-25 04:27:40+02:00
2014-09-25 04:39:37 AM,57.03054,9.94560,2,3,268,82,20,GPS,2014-09-25 04:39:37+02:00
2014-09-25 04:45:09 AM,57.03096,9.94550,2,3,272,83,15,GPS,2014-09-25 04:45:09+02:00
2014-09-25 04:51:32 AM,57.03085,9.94500,5,8,587,179,42,GPS,2014-09-25 04:51:32+02:00
2014-09-25 04:57:20 AM,57.03081,9.94540,2,3,298,91,15,GPS,2014-09-25 04:57:20+02:00
2014-09-25 05:04:07 AM,57.03093,9.94570,0,0,288,88,15,GPS,2014-09-25 05:04:07+02:00
2014-09-25 05:15:08 AM,57.03098,9.94610,14,23,190,58,29,GPS,2014-09-25 05:15:08+02:00
2014-09-25 05:23:20 AM,57.03097,9.94570,1,2,419,128,27,GPS,2014-09-25 05:23:20+02:00
2014-09-25 06:09:28 AM,57.03101,9.94540,6,10,314,96,37,GPS,2014-09-25 06:09:28+02:00
2014-09-25 06:23:19 AM,57.03115,9.94610,20,32,200,61,30,GPS,2014-09-25 06:23:19+02:00
2014-09-25 06:28:27 AM,57.03087,9.94600,1,2,200,61,16,GPS,2014-09-25 06:28:27+02:00
2014-09-25 06:34:30 AM,57.03105,9.94560,9,14,154,47,29,GPS,2014-09-25 06:34:30+02:00
2014-09-25 07:06:40 AM,57.03138,9.94520,3,5,701,214,38,GPS,2014-09-25 07:06:40+02:00
2014-09-25 07:15:32 AM,57.03104,9.94630,2,3,49,15,23,GPS,2014-09-25 07:15:32+02:00
2014-09-25 07:20:51 AM,57.03066,9.94630,0,0,-3,-1,43,GPS,2014-09-25 07:20:51+02:00
2014-09-25 07:26:47 AM,57.03073,9.94530,1,2,177,54,24,GPS,2014-09-25 07:26:47+02:00
2014-09-25 07:34:07 AM,57.03096,9.94600,0,0,232,71,33,GPS,2014-09-25 07:34:07+02:00
2014-09-25 07:50:52 AM,57.03087,9.94560,0,0,259,79,44,GPS,2014-09-25 07:50:52+02:00
2014-09-25 07:57:34 AM,57.03107,9.94580,,,,,43,GPS,2014-09-25 07:57:34+02:00
2014-09-25 08:02:45 AM,57.02491,9.95210,18,29,190,58,15,GPS,2014-09-25 08:02:45+02:00
2014-09-25 08:08:21 AM,57.01651,9.96920,17,27,268,82,19,GPS,2014-09-25 08:08:21+02:00
2014-09-25 08:13:47 AM,57.01388,9.98770,9,14,416,127,41,GPS,2014-09-25 08:13:47+02:00
2014-09-25 08:20:08 AM,57.01172,9.99100,,,,,29,GPS,2014-09-25 08:20:08+02:00
2014-09-25 08:34:38 AM,57.01168,9.99100,,,,,28,GPS,2014-09-25 08:34:38+02:00
2014-09-25 08:40:07 AM,57.01153,9.99140,0,0,236,72,19,GPS,2014-09-25 08:40:07+02:00
2014-09-25 08:52:43 AM,57.01186,9.99100,3,5,-39,-12,49,GPS,2014-09-25 08:52:43+02:00
2014-09-25 08:59:05 AM,57.01139,9.99160,5,8,226,69,72,GPS,2014-09-25 08:59:05+02:00
2014-09-25 09:53:02 AM,57.01170,9.99100,,,,,27,GPS,2014-09-25 09:53:02+02:00
2014-09-25 09:58:32 AM,57.01171,9.99110,0,0,209,64,40,GPS,2014-09-25 09:58:32+02:00
2014-09-25 10:10:21 AM,57.01130,9.99190,6,10,291,89,39,GPS,2014-09-25 10:10:21+02:00
2014-09-25 10:17:22 AM,57.01155,9.99120,1,2,360,110,96,GPS,2014-09-25 10:17:22+02:00
2014-09-25 10:28:43 AM,57.01167,9.99040,8,13,442,135,49,GPS,2014-09-25 10:28:43+02:00
2014-09-25 10:34:56 AM,57.01157,9.99140,2,3,160,49,57,GPS,2014-09-25 10:34:56+02:00
2014-09-25 10:40:25 AM,57.01157,9.99100,1,2,534,163,39,GPS,2014-09-25 10:40:25+02:00
2014-09-25 10:47:10 AM,57.01163,9.99150,1,2,390,119,43,GPS,2014-09-25 10:47:10+02:00
2014-09-25 10:52:49 AM,57.01180,9.99110,2,3,9,3,48,GPS,2014-09-25 10:52:49+02:00
2014-09-25 11:30:28 AM,57.01156,9.99200,3,5,-55,-17,38,GPS,2014-09-25 11:30:28+02:00
2014-09-25 11:54:47 AM,57.01444,9.99080,13,21,160,49,19,GPS,2014-09-25 11:54:47+02:00
2014-09-25 12:00:09 PM,57.01795,9.99350,6,10,308,94,37,GPS,2014-09-25 12:00:09+02:00
2014-09-25 12:05:19 PM,57.01777,9.99230,1,2,164,50,16,GPS,2014-09-25 12:05:19+02:00
2014-09-25 12:10:38 PM,57.01205,9.99060,4,6,167,51,31,GPS,2014-09-25 12:10:38+02:00
2014-09-25 12:34:47 PM,57.01235,9.99110,10,16,282,86,14,GPS,2014-09-25 12:34:47+02:00
2014-09-25 01:07:15 PM,57.01226,9.99090,3,5,150,46,23,GPS,2014-09-25 13:07:15+02:00
2014-09-25 01:18:01 PM,57.01207,9.99120,9,14,144,44,27,GPS,2014-09-25 13:18:01+02:00
